MONTH,BOROUGH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,BOROUGH_ID
1992 / 05,Brooklyn,02,2870.300000000000182,,,3
1993 / 01,Brooklyn,02,2759,,,3
1993 / 02,Brooklyn,02,2330.800000000000182,,,3
1993 / 04,Brooklyn,02,2763.300000000000182,8.92,11.790000000000001,3
1994 / 03,Brooklyn,02,3017.300000000000182,406.600000000000023,236.170000000000016,3
1994 / 09,Brooklyn,02,2523.300000000000182,314.769999999999982,191.080000000000013,3
1994 / 11,Brooklyn,02,2633.300000000000182,354.720000000000027,169.310000000000002,3
1996 / 11,Brooklyn,02,2471.760000000000218,321.20999999999998,165.189999999999998,3
1997 / 01,Brooklyn,02,2417.900000000000091,365.639999999999986,216.5,3
1999 / 05,Brooklyn,02,2265.720000000000255,434.860000000000014,246.210000000000008,3
1999 / 11,Brooklyn,02,2235.380000000000109,433.920000000000016,223.360000000000014,3
2002 / 11,Brooklyn,02,2760.340000000000146,461.850000000000023,,3
2003 / 10,Brooklyn,02,2713.590000000000146,422.970000000000027,,3
2004 / 08,Brooklyn,02,2340.840000000000146,447.519999999999982,220.450000000000017,3
2004 / 09,Brooklyn,02,2354,529.5,232.140000000000015,3
2004 / 10,Brooklyn,02,2273.210000000000036,513.310000000000059,233.509999999999991,3
2005 / 02,Brooklyn,02,1952.880000000000109,448.480000000000018,225.740000000000009,3
2005 / 04,Brooklyn,02,2312.309999999999945,478.900000000000034,242.539999999999992,3
2005 / 08,Brooklyn,02,2294.210000000000036,436.710000000000036,249.27000000000001,3
2006 / 11,Brooklyn,02,2297.480000000000018,459.660000000000025,254.960000000000008,3
2007 / 05,Brooklyn,02,2379.400000000000091,407.670000000000016,252.219999999999999,3
2007 / 06,Brooklyn,02,2301.2800000000002,422.110000000000014,264.5,3
2008 / 08,Brooklyn,02,2051.75,420.139999999999986,260.899999999999977,3
2009 / 05,Brooklyn,02,2257.470000000000255,412.199999999999989,287.220000000000027,3
2009 / 11,Brooklyn,02,2156.710000000000036,397.939999999999998,247.159999999999997,3
2010 / 06,Brooklyn,02,2350.340000000000146,441.699999999999989,300.800000000000011,3
2010 / 08,Brooklyn,02,2182.659999999999854,398.889999999999986,260.53000000000003,3
2011 / 10,Brooklyn,02,2291.190000000000055,454.860000000000014,276.189999999999998,3
2012 / 05,Brooklyn,02,2560.900000000000091,380.519999999999982,278.550000000000011,3
2013 / 01,Brooklyn,02,2289.340000000000146,463.769999999999982,312.550000000000011,3
2013 / 03,Brooklyn,02,2226.889999999999873,373.03000000000003,268.120000000000005,3
2013 / 04,Brooklyn,02,2384.599999999999909,376.20999999999998,267.889999999999986,3
2016 / 09,Brooklyn,02,2403.269999999999982,490.389999999999986,340.340000000000032,3
2016 / 11,Brooklyn,02,2429.0300000000002,501.270000000000039,346.449999999999989,3
2017 / 03,Brooklyn,02,2297.429999999999836,469.960000000000036,362.95999999999998,3
2017 / 08,Brooklyn,02,2448.539999999999964,544.340000000000032,359.980000000000018,3
2018 / 06,Brooklyn,02,2536.289999999999964,543.080000000000041,392.569999999999993,3
2018 / 09,Brooklyn,02,2431.550000000000182,542.090000000000032,371.319999999999993,3
2020 / 01,Brooklyn,02,2450.400000000000091,582.710000000000036,463.75,3
2020 / 02,Brooklyn,02,2254.980000000000018,479.090000000000032,382.379999999999995,3
2020 / 04,Brooklyn,02,2007.850000000000136,450.100000000000023,466.04000000000002,3
2020 / 11,Brooklyn,02,2638.480000000000018,500.740000000000009,422.78000000000003,3
2021 / 04,Brooklyn,02,2542.179999999999836,532.32000000000005,429.410000000000025,3
